text,label
Where do I go to cancel a transaction?,8
I can't find my refund. Please help.,51
I need to cancel a payment. Something i purchased a while ago still has not arrived and i'm not going to pay them if they won't send me what I purchased.,52
Can you tell my why my card payment has been reverted.,53
I am still waiting for a money transfer to process.,48
"I have a cash withdrawal that says it's pending, why?",46
I didn't get all the cash I asked for,75
Can you please tell me why I was charged an extra fee on my transfer?,64
Why hasn't my balance been updated? I've deposited a few cheques some days ago!,6
I didn't get the correct amount of money from the ATM machine,75
How can the recipient see my money transaction?,66
Where on the website do I go to link my card?,13
Something is wrong with my payment account since it has been declined,25
What should I do if I see an unauthorized withdrawal on my statement?,20
Why can't I transfer money to a beneficiary,7
Weird charges are appearing in my debit account.,28
The ATM gave me less cash than requested,75
Is there a money transfer fee?,64
I bought something and I take issue with the exchange rate applied.,17
"Someone has access to my card info.  I still have the card, but someone just withdrew cash.  How do I get this corrected/stopped?!",20
"I purchased something and the seller hasn't received the money yet, but it has been deducted from my account.",53
How long will my top-up stay pending?,47
Why was a fee changed for my transfer?,64
I want to take back my transaction,8
How do I reactivate my card?,13
Why could my transfer have been declined?,27
What do I do to activate my new card?,0
I cannot see a refund in my account,51
What is taking so long with my refund?,51
I don't understand why I was charged extra for withdrawing money?,19
"My money's disappeared from my account! I topped up the other day and it was there, but now it's not. Help?",61
Is there a reason a payment is showing complete on my side but the person who is receiving it has not gotten it?,66
I tried activating my bill of fare and it didn't workplace,0
There are some card payments that I haven't done myself. What is going on with my card and does somebody else have access to my card?,16
My transfer didn't work! Help!,35
I see a charge for a direct debit that was not me.,28
What countries do your accounts send and receive to?,24
I made a transfer recently but it has not changed on my dashboard.,48
I need two cards. Is this possible?,39
What happened to my Top-Up? It's not reflected.,47
Card payment still pending.,45
What steps do I have to go through in order to activate my new card?,0
Why is there a 1 euro fee on my statement?,34
Please explain to me the circumstances in which my card payment would be reverted?,53
"$1 extra has been charged on my statement, why is that?",34
I did a money transaction and dont have a receipt,66
I could not transfer funds to a beneficiary; is there a problem with your software?,7
I know I'm getting a new card but would like know when I can expect to receive it.,11
Can I get both a Visa and a Mastercard from you?,73
I was issued a card about a week ago. why hasn't it come in yet?,11
What is the reason my cash withdrawal is still pending?,46
Can someone assist me with activating my card?,0
Why was a charged a fee for using the card?,15
I can not find my refund.,51
"Hello, I recently ordered an item and I need help with cancelling and processing a refund as soon as possible. It's very important that I get my refund quickly.",52
How do I locate my card?,11
I made a deposit but it is not showing up in my balance.,6
Top up did not work on the app.,59
"I thought I can make transfers for free, this is not fair. I bought something online from abroad and there was some weird additional fee that I've never seen before?",64
Why are fees charged on cash withdrawals? I went to withdraw some money earlier today after shopping. There's a fee that wasn't there before.,19
"Hi, I am interested buying crypto currency but unable to purchase it through the application. I do want to do the exchange, Could you please let me know what is the problem?",7
The exchange rate for case abroad is applied wrong.,76
What are your supported countries?,24
I was wondering if international transfers take longer than normal because I made a transfer from France a couple of days ago and nothing has happened yet?,5
"I was charged a fee when making this transfer, and I don't think I should have been!",64
Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong?,7
Why is my beneficiary not being allowed to get payment services?,7
I'm going to cancel a purchase.,52
How do I get my card into the app?,13
Explain to me why a transfer would be declined.,27
"I lost my card and need a new one, will it cost me?",39
What countries have access to this service.,24
"My card payment is showing up as pending for a very long time, what's going on with that, it should be going through at some point?",45
I tried to top up with my card but it was declined. I was able to a couple days ago and it worked. Is something wrong? Can you check it for me please?,59
Is there a reason to why I was charged twice for a transaction?,63
"My card is expiring, how do I get a new one?",9
Can I get a Visa or does it have to be something else.,73
I just lost my wallet and I see that they are already withdrawing money from my account. How can I stop this?,20
"I made a deposit a couple of days back it's, as of yet, not gone in! It would be ideal if you assist me with this",6
Every ATM I visit is rejecting my card and I don't know why. There should be money on it. Can you check it to see if something is wrong or if I'm doing something wrong?,26
How long do card transactions take to clear?,45
My statement is showing I was Charged a dollar and I am not sure why.,34
What do I do if the ATM didn't give me the correct amount I withdrew? I pulled out 30 pounds and the ATM gave me 10 pounds.,75
It's not letting me transfer money to my beneficiery.,7
the exchange rate on my payment was wrong,17
How do I add a card to the app?,13
Why did I only get $20 when I tried to get $100,75
My rate of exchange was wrong.,17
Is my card payment reverted?,53
Can the card be mailed to Europe?,24
I got double charged!,63
Why am I being a charged for using my card?,15
I looked on the app and it says I withdrew cash.  I didn't!,20
I ordered a card but it has not arrived. Help please!,11
Is there a reason there's an extra fee on my statement?,34
Why is my card payment showing as pending?,45
I prefer to get a Mastercard.,73
I'm not sure why my top up request was denied,59
There should be a cash withdrawal that I haven't seen yet.,46
Why did my transfer fail?  What can I do?,35
There was an extra fee on my account when I got cash.,19
I did a cash deposit to my account but my balance is still the same. What happened?,6
What do I do if a transaction shows up twice?,63
I made an out of country transfer and it hasn't went through yet.,5
Why is the transaction to my friend still pending?,66
Can I choose between Visa or MasterCard?,73
My payment still hasn't processed!,45
I couldn't make a transfer because it was declined,27
"I had everything lined up to make a transfer, and then it rejected it.",27
It is common for an international transfer to take 2 days or longer? I made a transfer from France 2 days ago and I have not seen it yet.,5
"Help, I don't see my money i just added.",47
I think the exchange rate for my for my cash withdrawal is wrong,76
"My cash withdrawal is showing as pending, why?",46
I received less cash than the amount I specified in the ATM.,75
"How long do EU transfers take? I bought something online a couple of days ago , sent the money immediately online but the seller says it is still not there yet.",48
Someone may have made an error in figuring out the rate of exchange.  I should have received more cash than I did on my most recent withdrawal.,76
I attemped a transfer and it didn't go through.,35
I saw a payment i did not do,16
Why is the payment I made still pending?,45
Hi. I noticed I have a duplicate charge which I have not made twice. Who should I talk to take care of this?,63
Why did you revert my top-up?,61
Am I able to get this shipped to China?,9
The currency exchange for my purchase in foreign currency is incorrect.,17
I can't get any money from my account.,26
I didn't get the all the cash i wanted from the atm,75
I cant get money out of the ATM with my card.  I just put my card in the ATM but it will not allow me to take any money out.  What do I need to do to fix this?,26
Is there a fee for sending out more than one card?,39
I need assistance with activating my new card.,0
Why can't the person I sent the money transfer to see it?,66
I have a trasnger that is pending and wondered about it.,48
Cancelling a transaction,8
I would like to get some extra cards?,39
My refund is not here yet,51
my atm transaction was wrong,75
I bought something abroad and the exchange rate applied is wrong,17
Why didn't my card payment work?,25
Mastercard is preferred to me.,73
Should my cash withdrawal still be pending?,46
Since when do you charge to make a withdrawal? I've always done it for free. So how much is it now?,19
"My card will expire soon, When do I need to order a new one?",9
Why is it I am charged an extra fee when I use the ATM?,19
I want a refund for my item,52
I have a cash withdrawal that I don't recognize.,20
can usa residents get a card?,24
Where can I activate my card?,0
Tell me how to go about activating my new card?,0
"I found my card, I would like to reactivate it.",13
Why did I have to pay a fee when I got cash?,19
I thought crypto top up with something you offer. This is not working. The money has been deducted from my account. Can you find out what's going on?,61
Why didn't my balance update after my cash or checque deposit?,6
Why didn't I get the amount I requested at the ATM?,75
I am interested in a Visa or Mastercard. Do you offer them?,73
Why wasn't my card payment accepted?,25
What is this extra fee while I was doing a transfer?,64
My top-up was rejected by an app.,59
The applied exchange rate is wrong for the cash I got abroad.,76
The exchange rate for my transaction last Saturday seems to have been wrong I got charged extra.  Please fix.,17
How many cards can I have for one account?,39
Why isn't the recipient seeing the transaction? I just sent the money.,66
I think the exchange rate for the cash I withdrew was wrong.,76
Why is there a pending transaction on my card?,45
Why did they charge me an extra $1?,34
It won't let me activate my card.,0
"I still have not received my new card, I ordered over a week ago.",11
I saw a fee on my receipt from withdrawing money while shopping earlier.  Is there supposed to be a fee for this type of transaction?,19
Do you take both Visa and Mastercard?,73
Why was my cash withdrawal declined by the ATM?,26
Can I track the card you sent to me?,11
Can you check if my money has reached my account since it is not showing up yet?,5
I need to reverse a transaction,8
I got cash and the exchange rate should have been different than it ended up being.,76
What do I do if my card is expiring soon?,9
Why was my transaction not approved?,35
My daughter need a card from this account. Is that possible?,39
Is there a reason my top-up has been cancelled?,61
What is the charge for paying with my card?,15
What would II do if I wanted to activate my new card,0
I accidentally made a payment to a wrong account. What should I do?,8
I tried to transfer but it was declined,27
How long until my new card gets here?,11
I need a new card and I live in the United States.,24
"I was charged a fee when I transferred my funds, why?",64
Can someone assist me with activating my new card?,0
Can I get a refund on an item?,52
Can I get a card despite the fact I'm not in the UK?,24
I tried to pay with my card and it didn't work,25
How do I find the refund on my statement?,51
The app reverted my top off.,61
I am noticing that a refund of a large purchase still has not been credited to my account. I contacted the merchant a few days ago and he assured me that he would submit it right away. Is there a status update?,51
I completed a money transaction but the recipient hasn't received it,66
When will my pending payment finish?,45
It's been some time since refilled the top-up.,47
I did not make a direct debit payment as listed on my app,28
Where can I link a new card?,13
Why did you charge me extra?,34
Can you help with a transfer to an account,7
Why didn't my payment process,45
Did you start charging for cash withdrawals? I thought it was free so far but noticed suddendly there is a fee. How much do I need to pay?,19
"How can I fix my card, it got declined twice.",27
Why did my transfer to a beneficiary fail?,7
My account shows the card payment cancelled.,53
"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",35
"I deposited a cheque, why isn't my balance showing that I did?",6
How long does it take for a new card to ship?,11
This exchange rate on my purchase is wrong.,17
Why is my withdrawal wrong? I took out $100 but only received $20.,75
"Hello, I tried to take out some money out of the ATM, but it's still showing that it's pending? I really don't want to be charged for this.",46
Can you tell me why I haven't received my new card?,11
I have a problem with my account. I tried to transfer some funds and the message came back declined. Can you help me?,27
I need a refund on a direct debit that shows in the app because I did not make it.,28
"im so mad right now. theres several charges that I think my x boyfriend made on my card. the companys on the website wouldn't refund me my money, they told me to contact my bank. DO something please.",28
My app says I withdraw funds from my account through an ATM.,20
How come I can't put money in my top up account?,61
The exchange rate you are using is bad.This can't be the official interbank exchange rate.,17
I didn't do a payment and I have it now.,16
"I'm looking at my statement, and my refund is not on there.",51
Where did this extra €1 fee on my statement come from?,34
"For some reason, the money I added was returned.",61
People are using my debit card - help!,28
There is a cash withdrawal on my statement that I did not make,20
Why am I unable to transfer money when I was able to before?,7
What cards do you offer?,73
"There is a direct debit charge that I don't recognize, what can I do?",28
"When I got cash, my exchange rate was wrong.",76
"I am attempting to make a purchase online, but my card is not working.  I know there are funds available, is this an issue on the banks end?",53
How long will it be  before the person I sent money to is able to see it?,66
How long is the wait for a money transfer to post?,48
I see cash in my app but I did not get it.,20
Can I get some help activating my new card?,0
"I tried and tried, but I could not complete my transfer. Tell me what is wrong.",35
How do I know if my top-up went through?,47
My statement has a charge that shouldn't have been made.,52
Is there a way to revert my transaction from this morning?,8
I was wondering how long does it take for a payment to go thru? It seems my last payment is stuck and hasn't moved.,45
I'm upset because I got charged a ridiculous fee when making an ATM withdrawal over a holiday weekend.  It didn't notify me beforehand either or I wouldn't have ever done it.,76
I was overcharged a pound.,34
The first payment I attempted for my card at the store earlier did not process so I had to make a second attempt. The second time it worked. It now appears I was charged twice. After looking at the app I see a pending charge. Please remove the pending amount because it is clearly not accurate and was declined.,63
My card is being declined for a purchase. I bought items before and the card worked. Do you know what the problem is?,53
I have been charged with a fee for paying with my card.,15
why is there a service fee on my statement?,34
"I was charged twice, when I didn't purchase anything twice.",63
Why is there a transaction that shows multiple times?,63
How come I can't take money out of the ATM?,26
My bank transfer is still not showing up in my account.,5
I contacted the seller and he won't respond.  Please just refund me my  money.,51
An unauthorized payment is in my app,16
I have a direct debit I didn't make,28
After I transferred money the balance remained the same.,5
I found a charge for a direct debit that was not made by me.,28
The amount of cash I received was different than what I requested.,75
Why have i been charged a fee for using my card?,15
Why is there a cash withdrawal I didn't make?,20
"Everything seems fine with my account, so why did it decline my payment?",25
Why was I not allowed to do a transfer to a beneficiary?,7
how long does it take to reflect in my balance a top up,47
"I did a payment with my card but seem that didn't work, it's still listed as pending since a while ago. When does this actually go through?",45
Will I be charged for a cash withdrawal?,19
"It's been two weeks, why has the transaction for $1.00 not been reversed?",34
How do I view the card I received in the app?,13
I need help with some transactions in my account that I dont recognize or remember purchasing. Im not sure if the name is just different or what. Should my card be put on hold while the issue gets figured out to be safe or is it ok?,16
"I have made a payment by my card, and its still pending since a long time. Could you please tell me when it will process.",45
Please tell me how the exchange rate is determined. I was expecting more money for the transaction.,76
I made a top up yesterday but it's still pending.,47
Do you have a tracking number for the card I was sent?,11
Help! I just realised someone has apparently withdrawn money using my card! It's from some odd remote town where I definitely haven't been. Please freeze it immediately!,20
Can you explain why I am now getting charged a fee for using my card?,15
Why was I charged an extra fee from the ATM?,19
how come my withdrawal rate is wrong for my cash withdrawal,76
Why is the exchange rate wrong when I purchase something abroad?,17
Am I able to cancel a transfer I just made,8
top up not completed,47
I need help making this transfer. I keep getting an error. I'm trying to purchase a flat but i need my mortgage payment to go through first. Can you help?,35
I have multiple of the same transaction,63
"I'm not in the UK, but can I still get a card?",24
My card has been charged two separate times for a single transaction.,63
The ATM won't let me take out cash,26
Could you explain your rules for ATM fees?,19
I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this?,6
Was there a number to track that I could get?,11
How do I cancel a transaction?,8
I am missing a refund.,51
Still waiting on a refund.,51
Hello. I'm on holiday and didn't bring any cash with me. I need to withdrawal my home currency from one of your machines. Do you have any that will do this and is there a charge?,76
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",13
"I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?",27
Can I get a Visa from you?,73
"I know I didn't make this payment showing up on my card, I don't remember this person at all.",16
My card still hasn't been delivered,11
Please help me!  A payment I made had an error on the account number and I can't cancel on my side.  Can you cancel it?,8
I attempted to top up my account but it's been frozen in a pending state for well over an hour now! Is this normal? I'm a new customer and this is my first time doing this. I assumed it would be done quicker than this.,47
I have duplicate charges for the same transaction,63
I didn't see any reason why my transfer was declined. What gives?,27
I just found out from the seller that my money didn't go through. I checked my account and it was deducted at first but now it's back in my account. Can you  please fix this for me quickly?,53
Can I add a card to back into the app?,13
Explain why a card payment would be cancelled?,53
"I'm having issues with my card. You guys keep declining it for some reason. I haven't had any issues up until this point. What is going on? I've tried a handful of times with the same, unfortunate, result!",27
"If I don't live in the UK, can I get a card?",24
I topped up but it isn't in my account,47
"Hi, I don't think your exchange rate is right. I need you to check the official interbank exchange please.",17
I had a decline on my card. Why?,25
I requested a refund but can't see it.,51
Can I have a third card?,39
Why doesn't it show that I did a balance transfer?,5
What are the steps in order to activate my new card?,0
My card payment failed.,25
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you remove one of them as it's wrong and clearly was declined?",63
What is the reason my top-up is still pending?,47
I was wondering why my card was declined,25
My card payment won't work.,25
Can you look into why my most recent top-up is showing as pending? I thought it was supposed to be instantaneous.,47
How can I check on the status of my new card?,11
Why has my transfer been declined?,27
How do I add my card to the app once I get it?,13
Can you tell me why my card payment did not work?,25
"It is still pending, I am still waiting. Your system just shows my top-up as pending. What is happening?",47
Do you give refunds?,52
"Hi! A seller that I requested a refund from a long time ago has yet to send the money into my account, even though I keep checking it. Can the seller be contacted by you guys to see what's going on?",51
"I found my card in my jacket this morning, so can I reactivate it?",13
Do you know why my card payment has been declined?,25
I have an odd payment in my statement,16
I have an unusual payment in my statement,16
My ATM withdrawal was cancelled,26
The ATM gave me the wrong amount of cash today when I went to withdraw. The app says it was more.,75
I need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or let me know if you have any alternatives,59
Why did my my transfer get declined?,27
Why did my payment not go through why did it cancel?,53
Why do I have a strange payment on my statement?,16
I'm not sure why my account has been refunded a payment for an item I've already received about 2 weeks ago. Can you please tell me what is going on?,53
In a recent withdrawal I received less cash than I expected to receive.  Did someone make an error with the exchange rate?,76
I an not sure but it looks as if a card payment I made was cancelled.,53
Why is there an extra dollar charged to my account?,34
"Fix your system. I can't make transfers, I've tried like 5 times already.",35
Will my transfer be done soon?,48
The app denied my top-up,59
How do I cancel a purchase?,52
Hello! I recently made a purchase and I'm needing to cancel my order and process a refund as soon as possible.,52
Why am I being charged more on exchange with things I bought abroad?,17
"I just transferred some money into my account and do not see it updated yet, can you assist?",5
"Hi, I have withdrawn cash from the ATM on holiday and i guess withdrawal amount has been overcharged. I did it as i was not aware of these charges.",76
"What's go on, where is my new card?",11
"I didn't mean to do the transfer, is there any way to cancel it?",8
Why is there a €1 charge on my statement?,34
When will I get my card?,11
Can i cancel this purchase?,52
How can I tell if my card payment is reverted?,53
Why did you charge a fee when I withdrew from an ATM?,19
I have a direct debit on my records that is strange and I need help.,28
"I tried again to top up my card after doing it a couple days ago when it had worked. Now, it doesn't seem to be working. Can you tell me what the deal is here please?",59
I tried using my credit card with top up but it didn't work! I thought it was supposed to?,59
I just initiated a transfer but I'd like to cancel it.,8
My card payment was reverted,53
I don't know why my card payment did not work,25
Do I have to go somewhere to activate my card?,0
I attempted to top up but the app denied it.,59
I see money go out that I didn't withdraw.,20
I added money to the card but the transaction didn't go through,47
"I received my new card, how is it activated?",0
I am reluctant to use ATMs international because I don't get an accurate exchange rate,76
"I would like to activate my card to use now, can you help me?",0
"What is this card payment, I do not recognize it.",16
Why is there an extra charge of 1 dollar on my statement?,34
WHY IS THERE AN EXTRA FEE FOR USING THE ATM??!!!,19
Is there a transfer fee?,64
How do I activate a card I received?,0
I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.,6
So what items  actually come  with  extra  fees,15
top up did not complete,47
I was not able to use the ATM to get cash,26
"My card is expiring shortly.  How much will it cost for a replacement, and how soon can I get it?",9
I'd like to order an additional card,39
Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account?,8
My account statements show a debit payment that I didn't make it's from some time ago I need to know if it is disputable.,28
Am I charged a fee to transfer funds?,64
I transferred money but the balance did not update.,5
The balance does not appear to have updated.,5
There is a payment in the App that is not mine.,16
I hope you can help me. Someone has stolen my wallet and now I have noticed that they have been taking money from my account.,20
I believe my card has been compromised as there's a cash withdrawal I don't recognize.,20
"I think my card is expiring, what happens then?",9
I topped up my card but the app rejected it.,59
Why can't I withdraw funds from my account?,26
The incorrect rate was used in my foreign purchase,17
can you tell me why my card was declined?,25
I need someone to find out where my money has gone to? It has disappeared. I completed a top up earlier and seen it had went through. Since it has now disappeared I need to know what's going on.,61
How do i activate my card,0
My account was charged a fee. When did you start charging extra for card payments?,15
I received the wrong exchange rate for an item i bought.,17
Why can't I use this beneficiary?,7
"I have a question about ATM transactions. Can I take money out of an ATM when I'm traveling abroad? And, can I get the money in my home currancy?",76
Can you look into my top up please.  I made it over three hours ago and yet it's still pending.,47
How can I choose between Visa and Mastercard?,73
When I got cash the exchange rate was wrong,76
top up cancellation,61
Can I track my card while it is in the process of delivery?,11
Can I get a card although I'm not in the UK,24
I have a strange cash withdrawal in my statement,20
There's a payment with my card that I didn't perform. I don't know that name shown.,16
Is there a reason why my transaction is taking so long?,66
"Please put a freeze on my card,  I am worried there has been some payments on it and I don't know what for.",16
"I completed an in country transfer a few days ago and was sure to check the account information several times since the transaction was completed, but the funds are still not available. What is the problem?",66
My cash withdrawal shows as pending still.,46
Is it right that I've been charged for transferring money?,64
My foreign currency exchange has been applied incorrectly.,17
I have an incorrect charge and would like a refund.,52
I made a cash deposit to my account but i don't see it,6
Please sort your top up! My top up has been pending for an hour already. Can you please make it go through as soon as possible. I really need the money.,47
I have a duplicate payment on my account,63
How does my top-up got cancelled?,61
I have a top-up that's still pending and wanted to know about it.,47
I was charged twice.,63
I don't understand why my payment was declined. I thought everything was ok.,25
There is a payment showing that I know I didn't make. I didn't use my card that day and I'm sure of it. Can you please cancel that transaction and return my money? Thankyou,28
"i need a refund from you because the merchant is refusing, can you do that?",51
I made a cash withdraw and it shows up as pending why is that?,46
I think my top up has been reverted,61
I would like a refund for something I bought,52
How do I fix a reverted top up?,61
I noticed that my card was charged more than once for one thing.,63
Which countries are supported,24
The app is showing a direct debit payment that I never made,28
My attempted transfer failed.,35
Why am I being charged a fee for transferring money?,64
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,34
Why was I charged twice for the same transaction?,63
When I made a transfer I was charged extra.,64
I want to talk about an order that I placed a long time ago and have yet to receive. I demand a refund due to lack of delivery of the product!  I refuse to pay for something I never got.,52
What do I need to do to cancel a transaction?,8
"Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error.  Do you know what could be causing this and can you help me get the money over.",35
Why did my money disappear when I topped up??,61
i asked for 100 only got 80,75
I used an ATM in a foreign currency but the rate applied is wrong!,76
My cash received does not match what has been requested,75
I sent a cheque  a few days ago and nothing has happened to my account yet. Can you please check on this for me?,6
The receipient doesn't see my money transfer.,66
Why didn't I receive the right amount of cash?,75
Do you have to be in the UK to get a card?,24
When my card expires what is the cost of a replacement and how fast?,9
What are some reasons that would cause ATM machines to decline my card? It has happened to me multiple times!,26
"In my statement, there was an extra €1 fee",34
Why was I charged a fee for my withdrawal?,19
I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money!,46
"My beneficiary has been denied, is this normal?",7
Please help me as my online payment is getting declined since yesterday while i am trying to purchase something online.,27
Why did my transfer get declined?,27
Transferring money in 2018 to another country shouldn't take this long. My transfer has been pending for too long. I verified my account details are correct.,48
There has a recent suspicious withdrawal on my bank account. Is it possible to freeze my card?,20
My credit card has been declined.,25
My payment came back for something i'm trying to buy online? it's been doing it for two weeks.  do you know what the issue is?,53
I can't see my refund on my account,51
I'm sure I have enough money so why didn't the store accept my card?,25
There has been a red flag on my top up.,59
There is a fraudulent charge on my statement.,16
I want a refund for an item,52
"Hi. A couple hours ago I make a transfer from my UK bank account, but it hasn't shown up. Please, would you see what the delay is?",5
"Where can I find out the fee structure for my account? I have been charged fees for some transactions, but not for other ones. I can't find a pattern in these fees.",15
I tried to buy something online yesterday but it kept saying declined. Tried again today but same thing happened. What's broken?,27
Cancel my last transfer,8
"Your top-up function isn't working, it still says pending even though I know my card works.",47
"My app says I made a withdrawal, but I didn't.",20
How long before I can see that my cash withdrawal has taken place?,46
The app shows Direct Debit payments that I didn't make,28
I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?,75
What card types can I choose from?,73
I am having trouble activating my card.,0
"I thought cash withdrawals were free? Why have I been charged a fee? Also, how much is this fee?",19
Can you explain why my transfer was unsuccessful?,35
What do I do if my payment was reverted?,53
"I tried topping up my account but it failed, can you help me?",59
I keep checking my statements but nothing shows up.I requested a refund a long time ago but seems like it's not submitting my account for some reason. Can you please help me get the money back from the seller for me,51
Can you give me a visa?,73
My transfer into my account isn't showing up.,5
What is going on with it saying my card payment was declined?,25
My card is about to expire. Do I have to go to a branch to order a new card?,9
Help!  In the app there is a direct debit that I don't remember.,28
I think my top-up was cancelled.,61
"I don't know if this is an issue with the ATM or my account, but I just tried withdrawing 30 pounds from the ATM I'm at now and it only gave me 10. Is this a glitch or what exactly is going on?",75
I tried transferring to an account but it didn't go through. What happened?,7
Should my top-up be completed by now?,47
My card never arrived.,11
There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there.,34
I transferred some money but it is not here yet,66
What is the process for activating a new card.,0
Was there a way for me to get tracking for that?,11
"The day before yesterday, I performed a transfer within the country. It still has not completed. Can you check on that? The account number is definitely correct, as I've checked.",66
There's a cash withdrawal I didn't make,20
"So, I am a new customer and attempted to top up for the very first time today. It's already been pending for half an hour and doesn't seem to be working. I need to please get this fixed.",47
The ATM only gave me 10 pounds when I withdrew 30. What do I do?,75
It seems like a transfer is pending.,48
